N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,1.914494,0.198659482442
100,4,1,2,1.952178,0.176059155729
100,4,1,3,1.862372,0.142391761054
100,4,2,1,1.953714,0.177451492538
100,4,3,1,1.95958,0.120698548459
100,4,2,2,1.969334,0.159482884486
100,4,3,3,2.288894,0.10872178606
200,4,1,1,2.180074,0.148458036239
200,4,1,2,2.320338,0.176234320596
200,4,1,3,2.235172,0.145086396385
200,4,2,1,2.317306,0.173698199081
200,4,3,1,2.372204,0.118407965881
200,4,2,2,2.184264,0.156887903625
200,4,3,3,2.530104,0.119007584565
300,4,1,1,2.40469,0.136710957498
300,4,1,2,2.644312,0.172675564733
300,4,1,3,2.59557,0.140791040553
300,4,2,1,2.641092,0.157794801993
300,4,3,1,2.779262,0.0935763290368
300,4,2,2,2.384398,0.160990321436
300,4,3,3,2.799008,0.125469980218
400,4,1,1,2.652958,0.136930377331
400,4,1,2,3.03942,0.188674088311
400,4,1,3,2.98743,0.159717479006
400,4,2,1,3.036182,0.182788590661
400,4,3,1,3.235182,0.121137528768
400,4,2,2,2.644152,0.160649173344
400,4,3,3,3.07751,0.178910250964
100,8,1,1,1.79506,0.196792744785
100,8,1,2,1.869824,0.154529029713
100,8,1,3,1.765788,0.0995148986635
100,8,2,1,1.775992,0.0955617911929
100,8,3,1,1.879592,0.0616693241085
100,8,2,2,1.761494,0.0833739645453
100,8,3,3,2.256466,0.104782617089
200,8,1,1,2.009404,0.196389075012
200,8,1,2,2.200512,0.158261788995
200,8,1,3,2.14087,0.110079231011
200,8,2,1,2.145048,0.0999903280123
200,8,3,1,2.294092,0.0671945201337
200,8,2,2,1.998842,0.0909231600639
200,8,3,3,2.489032,0.141523633984
300,8,1,1,2.345258,0.179978930534
300,8,1,2,2.564314,0.16844853043
300,8,1,3,2.508444,0.124334785414
300,8,2,1,2.528916,0.12109173772
300,8,3,1,2.713874,0.0691803593804
300,8,2,2,2.21645,0.109395116436
300,8,3,3,2.745916,0.113672287493
400,8,1,1,2.429032,0.258086704377
400,8,1,2,1.993722,0.187826741216
400,8,1,3,2.14058,0.396191241195
400,8,2,1,2.878098,0.100258946713
400,8,3,1,3.146242,0.0801634295424
400,8,2,2,2.447894,0.0914950422919
400,8,3,3,2.995032,0.17462178265
398,8,1,1,2.525492,0.188180280412
398,8,1,2,2.942564,0.16720231429
398,8,1,3,2.893624,0.150798695697
398,8,2,1,2.86755,0.102380874679
398,8,3,1,3.128358,0.0660554148878
398,8,2,2,2.440838,0.106344326393
398,8,3,3,2.966372,0.153445761154
